Themes,Sub-themes,Codes,,,
Refugees are victims of circumstance,Refugees have no basic rights,Refugees are disenfranchised by home country's politics ,,,
,Refugee issues are political issues,Refugees are victims of ethnic violence in their home country,,,
,Refugees in Malaysia are at risk of abuse and threats,Refugees are vulnerable ,,,
,Refugees are risking their lives to escape poor conditions and violence in their home countries,Refugees are victims of genocide,,,
,Refugees' safety and security are not guaranteed,Refugees need protection ,,,
,,Refugees are prevented from returning home ,,,
,,Refugees make perilous voyages out of desperation,,,
,,Refugees are victims of circumstance,,,
,,Sympathetic imagery of refugees,,,
,,Malaysians should help refugees living in the country ,,,
,,Refugees are forced to resort to crime ,,,
,,Refugees endure harsh conditions in refugee camps,,,
,,Refugees experience despair and hopelessness ,,,
,,Refugees are deprived of basic rights ,,,
,,,,,
The flood of refugees is domestically unwelcome due to xenophobic sentiments,,The “flood” of refugees is unwelcome,,,
,,Xenophobic views towards refugees is understandable ,,,
,,Refugees are invading their host countries,,,
,,Refugees are uneducated ,,,
,,Refugees are a burden on Malaysia,,,
,,Refugees are intruding into Malaysia,,,
,,Refugees are unwilling to work,,,
,,Refugees are deprioritised over Malaysian citizens ,,,
,,Presence of refugees lead to social ills ,,,
,,Refugees' applications to third country are frozen,,,
,,Malaysians are xenophobic towards refugees as they believe that refugees are stealing their jobs.,,,
,,Xenophobia among Malaysians have an impact to not only the refugees themselves but also to those who work with them.,,,
,,Any attempt to demand for rights by refugees is met by hate speech and death threats in Malaysia.,,,
,Social media is used to instigate hate towards refugees,The media is used to discriminate against refugees,,,
,,Refugee is receiving hate comments and death threats over misinformation spread online,,,
,,Xenophobic comments by Malaysians affect refugee students,,,
,,Fake posts from social media resulted in refugees being abused,,,
,,Refugees are victims of hate speech online,,,
,,,,,
There are too many refugees globally,,"Locals in Aceh are willing to help refugees who landed on their shoreline. However, the effort decreases over time as more and more refugees arrive in the country.",,,
,,Some Malaysian leaders believe that there are too many refugees in the country,,,
,,The government of Malaysia is having issues with handling the influx of refugees over the years,,,
,,"Malaysians are not comfortable with the increase of refugees entering the country, viewing refugees as the cause of social issues.",,,
,,,,,
The refugee issue is merely politics,,The refugee issue concerns the home state's reputation,,,
,,The refugee issue is an international relations issue ,,,
,,The refugee issue is an agenda for debate,,,
,,The refugee issue as a means to improve political image,,,
,,The refugee issue concerns the host state’s reputation ,,,
,,The refugee issue is an electoral agenda,,,
,,The refugee issue is a pan-Islamic agenda,,,
,,Refugees are a matter of numbers  ,,,
,,,,,
Islamic solidarity as a pushing force for local acceptance of refugees,,The refugee issue is a pan-Islamic agenda,,,
,,Muslim responsibility to help refugees,,,
,,Islamic organisation urges the government to not instil hatred and mistreatment against refugees,,,
,,Islamic organisation urges relevant agencies to understand the plight of refugees,,,
,,"Islamic organisation is of the view that as a Muslim nation, it is Malaysia's responsibility to defend refugees' rights",,,
,,Muslim leaders are urging Malaysia to adopt the Islamic approach on addressing the refugee and asylum issues.,,,
,,Muslim leaders are urging relevant agencies to consult Islamic leaders on the best way to address refugees in the country and refrain them from instilling any hatred and mistreatment against the refugees in Malaysia.,,,
,,Muslim leaders in Malaysia believe that the country is responsible for helping to defend the rights of refugees as Malaysia is a Muslim country.,,,
,,Muslim leaders through the OIC are leading discussions on Rohingya refugee issues.,,,
,,"Refugee acceptance by politicians in Malaysia is influenced by their religion, Islam, as it promotes good treatment towards the oppressed and abused.",,,
,,Muslim leaders in Malaysia believe that policy enactment and international cooperation may be the solution to the refuge crisis in Malaysia,,,
,,,,,
,,,,,
Refugees deserve better,Injustice is done unto refugees,Refugees deserve equal opportunities as locals ,,,
,,Malaysia's infrastructure is insufficient for refugees ,,,
,,The government should do better for refugees  ,,,
,,Refugees should not suffer mistreatment or abuse ,,,
,,Refugees should be allowed to survive ,,,
,,The host state is guilty of not fulfilling obligations to refugees ,,,
,,Refugees deserve better,,,
,,Rohingya refugees are unfairly denied their right to citizenship ,,,
,,Refugees human rights' are violated,,,
,,Malaysia's forced return of refugees is inhumane ,,,
,,Malaysia's act of deporting refugees is unlawful ,,,
,,Refugee mistreatment is government's wilful action,,,
,,Refugees experience hate speech,,,
,,Injustice is done unto refugees,,,
,,Home governments have failed refugees ,,,
,,A Malaysian judge believes that imposing a whipping sentence on refugees is inhumane as they are not habitual offenders and are victims of circumstances.,,,
,,NGOs in Malaysia are pleading to the Malaysian government for refugees not to be caned when found guilty under the Immigration Act.,,,
,,"NGOs are calling the practice of canning undocumented refugees cruel and inhumane, especially if there has been no prior criminal history.",,,
Refugees should be given access to education and healthcare,,Providing refugees with access to education could reduce crime,,,
,,Providing refugees with access to education can also reduce the negative perception of certain Malaysians towards them,,,
,,Refugee children should be treated equally in terms of access to education and healthcare,,,
,,"Refugees should have access to education, healthcare and employment",,,
,,Rohingya children hope that they will be given opportunities for education,,,
,,Refugee children should be treated equally in terms of access to education and healthcare,,,
,,Refugee students lack access to education,,,
,,"Refugees have limited access to healthcare facilities, education opportunities and livelihoods",,,
,,Refugee children should be given the same opportunities as Malaysian youths,,,
,,,,,
Refugees are normal human beings like us,,Refugees are normal human beings like us ,,,
,,Refugees want to stand on their own two feet   ,,,
,,Refugees want to contribute to Malaysia ,,,
,,Refugees are charitable and appreciative ,,,
,,Refugees are not a monolith ,,,
,,Refugee voices are centred,,,
,,,,,
It is desirable to provide job opportunities for refugees,,Refugees have economic value ,,,
,,Refugees are unable to survive without job opportunities,,,
,,Equipping refugees with skills helps them earn their own income,,,
,,Deputy Home Minister says that a project to allow UNHCR card holders to work in specific sectors in the country is underway,,,
,,An NGO is of the view that refugees should be able to apply for legal jobs,,,
,,"Many refugees work in 3D (dangerous, dirty and difficult) jobs since they are not allowed to work legally",,,
,,Malaysia is piloting a project that will give refugees access to work legally,,,
,,Malaysia wants to provide refugees with skills and a source of income before they are relocated to a third country,,,
,,Issues regarding refugees livelihood need to be addressed,,,
,,Government is deciding whether refugees should be allowed to work,,,
,,Refugees do not want to rely on handouts,,,
,,Refugees are grateful for the help and support received but they want to be independent and secure a better future for themselves,,,
,,Refugees are happy with having learnt new skills and projects to work on,,,
,,Refugees are cooking for medical workers as a way of thanking them,,,
,,Refugees want to contribute back to society as well as show gratitude and appreciation to Malaysians ,,,
,,A university is providing workshops for women from refugee communities,,,
,,,,,
Malaysia has no obligation to refugees,Malaysia's stance on the UN Refugee Convention creates challenges in addressing refugee needs,Refugees are not entitled to demanding basic rights ,,,
,,Malaysia has been generous to refugees,,,
