title,comment_count,comment_texts,comment_indices,weighted_comment_sum,textlen,cluster,random,fulltext,paragraphs,weighted_comment_sumAI,commentrate,weighted_sum,wsr,wcsr
Vincent Tan gets Erdogan to help refugees,14,"['Building a new school for refugees', 'Providing education for refugees', 'Lack of school for refugees', ""Turkey's president is supportive of helping refugees"", 'Providing jobs to refugees', 'Volunteers are providing humanitarian aid to refugees', 'Refugees are a subject of aid  ', 'Refugee aid: Centering philanthropist over refugees ', 'Refugee aid: Centering philanthropist over refugees ', 'Refugee aid: Centering philanthropist over refugees ', 'Refugee aid: Centering philanthropist over refugees ', 'Refugees are a subject of aid  ', 'Turkey is helping the Tzu Chi Foundation by providing land for a new school and education to refugees', 'Malaysian businessmen are using the plight of refugees as a way to gain access to the Turkish market']","[0, 1, 2, 3, 4, 5, 6, 7, 7, 7, 7, 6, 8, 9]",9.666666666666666,2976,"[171, 186, 236, -1, 174, 74, 216, 197, 141]",0,"ISTANBUL: Berjaya group founder Tan Sri Vincent Tan scored big time in his bid to assist Syrian refugees in Turkey, after a fruitful meeting with Turkish President Recep Tayyip Erdogan on Saturday.

Speaking to the press after visiting the president, Tan revealed that Erdogan has agreed to provide a piece of land to the Tzu Chi Foundation of which he is a volunteer, for the purpose of building a new school for the refugees.

In addition, the president also agreed to provide Advanced Continuing Education (ACE) certificates to up to 3,000 refugee students each year.

This is an increase from the current quota of only 531, which will allow their examination results to be recognised in other countries when furthering their studies.

Currently, some 3,000 Syrian children are pursuing their education at the El Menahil International School, which is deemed by the Turkish government to be over-populated.

Tan, who was ostensibly upbeat and cheerful during the press conference, described the hour-long meeting with Erdogan as “very positive”, saying the president is extremely supportive of Tzu Chi’s plans and works.

“We came here to help Tzu Chi in their bid to assist the refugees, and I think we have achieved much more than we initially expected, especially after we managed to pay a courtesy call on the president.

“Because Tzu Chi did not have access or direct contact with the government, I used whatever contacts I have to meet Erdogan,” he said.

Tan added he is also looking at possibly investing in the tourism sector in Istanbul, and is considering developing a hotel here.

Present at the meeting with the president were, among others, Turkish Ambassador to Malaysia Merve Kavakci, Top Glove Corporation Bhd executive chairman Tan Sri Dr Lim Wee Chai, Berjaya Times Square chief operating officer Morvin Tan, as well as Faisal Hu and wife Nadia Chou, -- a couple who leads Tzu Chi’s Istanbul chapter.

Faisal said Erdogan has agreed to arrange further meetings between his office and Tzu Chi on the proposal to allocate a land for the new school and the plan to register the students under ACE.

He said although it would take some time to build a new school, it is a “dream come true” for Tzu Chi and the students in particular.

The current school (El Menahil International School) was set up by the Sultangazi government, Syrian teachers and Tzu Chi in 2015 and provides classes for all levels of primary, elementary and secondary.

Meanwhile, Lim said Erdogan would consider allowing Top Glove, to build a glove factory in Turkey, that would subsequently provide job opportunities to between 500 and 1,000 individuals.

“We even suggested that maybe a portion of this job openings be provided to the Syrian refugees. And he is very receptive of this proposal,” Lim said.

Tan and Lim are currently on a special three-day mission to Syria, along with 25 Malaysian Tzu Chi volunteers, to provide financial assistance and other aid to the refugees here.",16,6.524390243902439,3.248207885304659,8.046783625730994,0.0027038923473558444,0.0032482078853046594
Malaysia wants more comprehensive plan on deportation of Rohingya refugees,16,"['Malaysia is committed to helping refugees', ""Malaysia is of the view that refugees' and CSOs' wishes need to be heard"", 'Malaysia is advocating for justice for refugees', 'Malaysia is committed to helping refugees', ""State concern for refugees' wellbeing "", 'National commitment to helping refugees ', 'Refugee views are important ', 'Refugees are a group with violated rights', 'Refugees deserve justice ', ""State concern for refugees' wellbeing "", 'National commitment to helping refugees ', 'Helping refugees is humanitarian aid ', 'Malaysia is focused on safely deporting the Rohingya refugees instead of letting them stay in the country', 'Malaysia recognises the predicament that the Rohingya refugees are facing', 'Malaysia is committed to improve the humanitarian work at Cox Bazaar', 'There is a contradictory actions made by Malaysia as it is committed to improving the well-being of Rohingya refugees while also deporting them back.']","[10, 11, 12, 10, 13, 14, 15, 16, 17, 13, 14, 18, 19, 20, 21, 22]",12.166666666666666,1296,"[-1, 76, 179, 172]",0,"BANGKOK: Malaysia wants a comprehensive plan on the deportation of ethnic Rohingya refugees to ensure their safety, according to Foreign Minister Datuk Saifuddin Abdullah today.

He said Malaysia is committed to helping the Rohingya refugees and is focused on three matters at the 34th Asean Summit here.

“At a dinner attended by Asean foreign ministers yesterday, Malaysia expressed its opinion on the need for the views of the ethnic Rohingya, as well as that of the Civil Society Organisation (CSO) which is doing humanitarian work at Cox’s Bazaar, be sought before the repatriation of the refugees,” he told the Malaysian media after attending the Asean Foreign Minister’s Meeting (AMM), here today.

He said Malaysia wants justice for the ethnic Rohingya and to bring to justice irresponsible parties who violated their rights.

Malaysia is also committed to improving its humanitarian work at Cox’s Bazaar and also the well-being of the ethnic Rohingya refugees in its country, he added.

On the 24-hour operation at the Bukit Kayu Hitam Immigration, Customs, Quarantine and Security Complex and the Sadao CIQ since last June 18, Saifuddin said it was well-received by the public, but there were several issues that needed to be addressed, especially congestion at the Sadao CIQ. - Bernama",6,2.2243902439024392,9.387860082304526,5.25,0.004050925925925926,0.009387860082304526
Poets to perform online on April 9 to raise fund for refugees,7,"['Fundraising for refugees', ""Sympathetic to refugee's circumstance\xa0 "", 'Refugees are a subject of aid  ', ""Sympathetic to refugee's circumstance "", ""Sympathetic to refugee's circumstance "", 'Individuals and groups from different countries are willing to help refugees with the help of NGOs', 'The pandemic has resulted in the loss of income for refugees in Malaysia']","[23, 24, 6, 25, 25, 26, 27]",4.055555555555555,1703,"[73, 121, -1, 186, 256]",0,"PETALING JAYA: A group of poets from Malaysia as well as other countries will be performing online in an effort to raise funds for refugees during the movement control order (MCO). nan The event – If Walls Could Talk – Poetry Open Mic – aims to raise RM5,000 for non-governmental organisations, Refuge For The Refugees and Tenaganita, that are helping refugees. nan The performances will take place via Facebook Live on Thursday (April 9), starting at 8pm local time. nan Among the Malaysians taking part are Bernice Chauly, Azizan Afi, Deborah Augustin, Dhabitah Zainal, Dhinesha Karthigesu, Gwendoline Esther, Katrina Maliamauv, Kulleh Grasi, Minxi, Veshalini Naidu and Wani Ardy. nan They will be joined by poets from Singapore, Syria, the US, the Philippines and Australia. nan ""The majority of refugees depend on daily wages to support themselves and their families. With the MCO in place, many have lost their sources of income and are struggling to put food on the table. nan ""We are looking to support more families, and here are the ways your donation can help,"" read the campaign fundraising page. nan The MCO, which began on March 18, was supposed to end on March 31, but was extended to April 14 and may be extended again. nan Bernama reported that the government would be making an announcement on this on Friday (April 10). nan As of February this year, there were 178,990 refugees and asylum-seekers registered with the Office of the United Nations High Commissioner for Refugees (UNHCR) in Malaysia. nan Most refugees here work in the informal sectors and live from day to day. nan For more information, log onto https://www.sedunia.me/campaigns/support-refugee-families-during-mco/about",9,3.024390243902439,2.381418411952763,5.165413533834587,0.003033125974066111,0.002381418411952763
Set up cross-cutting council to ensure food security for all,8,"['Refugees are struggling to find food during MCO', 'Refugees are a marginalised community', ""Sympathetic to refugee's circumstance "", ""Sympathetic to refugee's circumstance "", 'Refugees have human rights ', 'Refugees are a marginalised community', 'The pandemic has resulted in the loss of income for refugees in Malaysia', 'Food aid given to refugees during the pandemic was no sufficient as many were left out from receiving aid']","[28, 29, 25, 25, 30, 29, 27, 31]",4.722222222222222,7515,"[263, 24, 171, 162, 42, -1, 207, 270]",1,"MP SPEAKS | Under Goal 2 of the Sustainable Development Goals, the right to adequate food is a universal human right that is realised when all people have physical and economic access at all times to adequate food or the means for its procurement, without discrimination of any kind.

Shockingly, Selayang Baru in Gombak is now suddenly placed as the seventh lockdown area under an enhanced movement control order (MCO). This adds to the growing fear that people can suddenly find themselves placed under severe restrictions without enough supplies.

ADS

Unfortunately, this has been implemented by invoking Section 18 of the National Security Council (NSC) Act, granting the council-wide and unfettered powers to declare a ""state of emergency"" in a designated area (also known as security area).

However, to suddenly declare lockdown areas and yet fail to ensure the continued supply of food, as seen in parts of Selayang after it was placed under the enhanced MCO, shows the lack of preparedness of the government to guarantee food security.

Recently I received two requests for aid from residents in Selayang who are in desperate need of food supplies. Residents there are placed under a stressful situation as they are not allowed to leave their homes to buy food and shops were closed without due notice. Many were caught unprepared and do not have enough supplies to last them even for a few days.

ADS

Despite the government’s promise that food will be sent to the area, food delivery was not carried out within 24 hours, leaving many people yet to receive anything.

While I understand the need to act quickly and decisively to isolate particular areas to contain the spread of Covid-19, we must not forget people’s access to food and that they are living in fear because of a lack of information and coordination to guarantee their survival during the enhanced MCO.

There is an urgent need for the government to work together with all parties including NGOs, private sector and elected representatives from all divides to guarantee food access in the designated enhanced MCO areas and also to the vulnerable communities especially the B40 nationwide.

ADS

This enhanced MCO has also brought up several disturbing issues relating to food distribution.

Centralised control over food distribution

The vision of “Shared Prosperity” is seriously tested when aid becomes politicised and food distribution is highly controlled by the government.

It was announced that food baskets will be distributed to each parliamentary constituency for the needy. However, on the ground, it was alleged that the government, through the Ministry of Women, Family and Community Development, was selective over where the aid was being distributed.

Many Opposition MPs, including myself, hardly received sufficient quantities of essential food items to be distributed to the needy.

The present government had allegedly cut off all Opposition MPs’ development funds when it came into power. I had to seek my own funding to buy food for the vulnerable in my constituency. I am lucky because many generous Malaysians contributed funds and donations in-kind to help those in need in Petaling Jaya.

However, many of the other Opposition MPs, despite having given out food supplies to many themselves, are struggling to cope with the growing requests for food, especially from enhanced MCO lockdown areas.

Lack of transparency on food distribution

Where have all the food baskets gone to? Cheras MP Tan Kok Wai stumbled upon loads of food baskets that were not distributed but stored for more than a week (below).

Recently, Senior Minister Ismail Sabri Yaakob denied claims that the value of the government food baskets only came up to RM35, saying that these baskets were from the civil society. Yet, at the same time, he failed to disclose the value of the government’s food baskets, how many were allocated per constituency and to whom they have been given?

Not reaching the deserving poor and marginalised

If the database on who is poor and where they are is available, it would have allowed aid to reach them faster. As civil society, parliamentarians and state assembly representatives struggle to get food on the table for the poor, it is also a stressful process to locate, verify and finally distribute the food.

On many occasions, I stumbled upon people who fell out of the “database” like an elderly woman who depended on her brother who lost his job because of the enhanced MCO, a daily wage-earning single mother who cannot go out to earn money to buy diapers for her paralysed son because of the lockdown, a single mother of seven who struggled to feed her family, and many more.

It also brings up the fact that women suffer the most if they are the single female heads of households.

Migrant workers, refugees and marginalised communities are finding it hard to get food when they are daily wage earners or when employers must stop work due to the enhanced MCO.

I have encountered four migrant workers sharing a single packet of instant noodle a day, while another 200 Bangladesh migrant workers were left to share 100 packets of take-aways between themselves.

I urge the government to take food security and the right to have access to food more seriously and implement the following suggestions:

(i) Decentralise and democratise the distribution of food to allow the Welfare Department to work with parliamentarians, civil society as well as other government agencies to get food quicker to the needy.

(ii) Have an effective, transparent and accessible database so that marginalised communities and the most vulnerable people including the elderly, the disabled and migrant workers do not get left out from receiving aid. This information should be shared right down to the humanitarian groups working on the ground to reduce the possibility of people being left out.

(iii) Utilise the latest technologies such as Big Data, 5G and AI to better coordinate supply chains within industries to help with the manufacturing and production of food, medical supplies and other essential items during the MCO. Build a sustainable domestic food supply in the long run.

(iv) Form a cross-party emergency council made up of professionals and experts in healthcare, social services, investments, banking and food security to build a road map for the implementation of key policies during and post-Covid 19 so that we are better prepared and coordinated for the future.

(v) Activate the Parliament Select Committees to be part of the cross-party emergency council to develop a strategic plan post-Covid-19. The aim is to plan not just for economic recovery and sustainability but to build a more resilient social safety net for all.

Sadly, at times like these, there are Malaysians who are starving and being made to live like in an active warzone without any knowledge of when their situation might change.

For the immediate and in the long term, strategic planning has to start now, otherwise, Malaysia will suffer.

MARIA CHIN ABDULLAH is the Member of Parliament for Petaling Jaya.

The views expressed here are those of the author/contributor and do not necessarily represent the views of Malaysiakini.

Keep up with the latest information on the outbreak in the country with Malaysiakini's free Covid-19 tracker.

Malaysiakini is providing free access to the most important updates on the coronavirus pandemic. You can find them here.

Help keep independent media alive - subscribe to Malaysiakini.",28,5.024390243902439,0.6283728838619058,3.2748538011695896,0.000435775622244789,0.0006283728838619058
"Syrian refugee Hassan lands in Canada, granted PR",5,"['Centering refugee voices', ""Sympathetic to refugee's circumstance "", 'Refugees are not able to get PR in Malaysia but are allowed to do so in other countries such as Canada', 'Refugees in Malaysia do not have the same rights as other', 'Refugees in Malaysia depend on donations to survive']","[32, 25, 33, 34, 35]",2.5353535353535355,1622,"[217, -1, 100, 169, 286]",0,"KUALA LUMPUR: Syrian refugee, Hassan al Kontar will get a new lease of life in Canada after living in Kuala Lumpur International Airport 2 (klia2) for six months.

Hassan who landed in Canada at 10.30am today has been granted permanent resident status under Canada’s “Private Sponsorship of Refugees” (PSR) program, said his lawyer Datuk Seri M. Ramachelvan.

The Private Sponsorship of Refugees Program is a Canadian initiative established in 1978 under Operation Lifeline, whereby refugees can resettle in Canada with support and funding from private or joint government-private sponsorship.

Al Kontar’s Canadian legal representative Andrew Brouwer could not be reached for comments.

Al Kontar had on Monday posted a video on Twitter from the Taiwan International Airport that he was on his way to Vancouver, Canada.

“For now, it’s not important where I have been or what went on ... What is important is today and tomorrow. The present and the future,“ he said on Twitter.

“I could not do it without the support and prayers from all of you. I could not do it without the help of my family, my Canadian friend’s family, my lawyer. Thank you all,“ he added.

Al-Kontar was arrested at the klia2 almost seven months after being stranded when officials refused to let him board a flight to Ecuador, on March 7.

The 36-year-old was left stranded in the terminal, surviving on donated airline meals and washing up in the toilets.

Al-Kontar, reportedly sought by authorities in his homeland for failing to serve in the military, was also refused entry into Cambodia and not allowed back into Malaysia due to visa issues.",9,4.024390243902439,1.5631032893671613,3.631578947368421,0.0022389512622493345,0.0015631032893671612
Rohingyas urged to get tested,12,"['Refugees are raising awareness for Covid 19', 'Lack of education for refugees', ""Refugees can't afford to skip work"", 'UNHCR is helping refugees to access information related to Covid-19', 'Centering refugee voices', 'Centering refugee voices', 'Centering refugee voices', ""Sympathetic to refugee's circumstance "", 'Refugees as agents in their community ', ""Sympathetic to refugee's circumstance "", 'Refugees in Malaysia lack communication skills which makes it difficult to pass vital information to them', 'The UNHCR is closing the communication gap between refugees by introducing Covid hotlines in six langhuages']","[36, 37, 38, 39, 32, 32, 32, 25, 40, 25, 41, 42]",7.494949494949494,1863,"[7, -1, 78, 54, 13, 15]",1,"PETALING JAYA: Rohingya leaders have been spreading the message for the community to be tested for the Covid-19 virus after 2,000 of them were said to have attended the tabligh gathering at Masjid Jamek in Sri Petaling. nan nan nan They disputed the figure, saying that at most hundreds could have attended the event. nan nan nan Rohingya Society of Malaysia (RSM) president Bo Ning Maing said a voice and video message has been shared with the community via the WhatsApp messaging application and on Facebook, urging those concerned to go for the test. nan nan nan “Many in the community are unable to read and write, so this is the most effective way to get the message across,” he added. nan nan nan As of February, there were 101,010 Rohingya refugee and asylum seekers registered with the UN High Commissioner for Refugees (UNHCR) in Malaysia. nan nan nan Rafik Shah Ismail, a Rohingya community leader with the Human Aid Selangor Society, said he got to know that only several members of the community attended the event. nan nan nan “I’m not sure how the big number came about because most of our community cannot afford to take a day off from work,” he said. nan nan nan He added that he had gone door-to-door to send flyers to the community in Gombak on the importance of getting tested for the virus. nan nan nan He said some of them had self-quarantined themselves. nan nan nan Meanwhile, the UNHCR has set up Covid-19 hotlines in six different languages to help refugees and asylum seekers who may not be able to access the national crisis hotlines. nan nan nan It urged those with symptoms to get tested at government hospitals. nan nan nan nan nan Article type: metered User Type: anonymous web User Status: Campaign ID: 1 Cxense type: free User access status: 0 nan Subscribe now to our Premium Plan for an ad-free and unlimited reading experience!",8,1.8577235772357723,4.023053942538644,4.023391812865497,0.0021596306027189998,0.004023053942538644
Rohingyas urged to get tested,12,"['Refugees are raising awareness for Covid 19', 'Lack of education for refugees', ""Refugees can't afford to skip work"", 'UNHCR is helping refugees to access information related to Covid-19', 'Centering refugee voices', 'Centering refugee voices', 'Centering refugee voices', ""Sympathetic to refugee's circumstance "", 'Refugees as agents in their community ', ""Sympathetic to refugee's circumstance "", 'Refugees in Malaysia lack communication skills which makes it difficult to pass vital information to them', 'The UNHCR is closing the communication gap between refugees by introducing Covid hotlines in six langhuages']","[36, 37, 38, 39, 32, 32, 32, 25, 40, 25, 41, 42]",7.494949494949494,1863,"[7, -1, 78, 54, 13, 15]",0,"PETALING JAYA: Rohingya leaders have been spreading the message for the community to be tested for the Covid-19 virus after 2,000 of them were said to have attended the tabligh gathering at Masjid Jamek in Sri Petaling. nan nan nan They disputed the figure, saying that at most hundreds could have attended the event. nan nan nan Rohingya Society of Malaysia (RSM) president Bo Ning Maing said a voice and video message has been shared with the community via the WhatsApp messaging application and on Facebook, urging those concerned to go for the test. nan nan nan “Many in the community are unable to read and write, so this is the most effective way to get the message across,” he added. nan nan nan As of February, there were 101,010 Rohingya refugee and asylum seekers registered with the UN High Commissioner for Refugees (UNHCR) in Malaysia. nan nan nan Rafik Shah Ismail, a Rohingya community leader with the Human Aid Selangor Society, said he got to know that only several members of the community attended the event. nan nan nan “I’m not sure how the big number came about because most of our community cannot afford to take a day off from work,” he said. nan nan nan He added that he had gone door-to-door to send flyers to the community in Gombak on the importance of getting tested for the virus. nan nan nan He said some of them had self-quarantined themselves. nan nan nan Meanwhile, the UNHCR has set up Covid-19 hotlines in six different languages to help refugees and asylum seekers who may not be able to access the national crisis hotlines. nan nan nan It urged those with symptoms to get tested at government hospitals. nan nan nan nan nan Article type: metered User Type: anonymous web User Status: Campaign ID: 1 Cxense type: free User access status: 0 nan Subscribe now to our Premium Plan for an ad-free and unlimited reading experience!",8,1.8577235772357723,4.023053942538644,4.023391812865497,0.0021596306027189998,0.004023053942538644
BBC drama filmed in Malaysia slammed for exploiting Rohingya refugees hired as extras,15,"['Refugees are being exploited', 'Insensitive towards the plight of refugees', 'Cast and crews were furious that refugees are not being treated properly on set', 'Mistreatment of refugees', 'Mistreatment of refugees', 'Mistreatment of refugees', 'Centering refugee voices', ""Sympathetic to refugee's circumstance "", 'Refugees are vulnerable ', 'The ""plight"" of refugees', 'Refugees are a victim of violence in their home country ', 'Refugees are not given a fair wage by a foreign company in Malaysia', 'Refugees are forced to relive their traumas during their employment', 'The standard wage to refugees in Malaysia is very low', 'Refugees who were hurt during work were given the medical attention that they need']","[43, 44, 45, 46, 46, 46, 32, 25, 47, 48, 49, 50, 51, 52, 53]",10.535353535353535,3314,"[13, 22, 260, 264, 93, 179, 225, 243, 110, 105]",0,"PETALING JAYA, Jan 22 — British broadcaster the BBC has come under fire for the reported mistreatment of Rohingya refugees who were hired as extras for a popular TV series that is currently being filmed in Malaysia. The military drama called Our Girl follows the adventures of female medics in the British Army. It is understood that the controversial scenes were filmed for the show’s fourth series, which is slated to air in the United Kingdom in April. UK’s The Sun reported sources as claiming the show’s producers hired about 100 Rohingya refugees as extras for just £33 (RM180) a day. Sources also told the tabloid that the refugees were “forced to relive their nightmares” when they were asked to participate in “horrific scenes.” The allegations included being asked to dig “graves” in a real rubbish dump as well as extras collapsing from heat exhaustion after being made to work 12 hours a day. It was also claimed that the extras were “sprayed with an industrial gun to make them look filthy” before they were asked to wade through a river with “terrified babies and children in their arms”. An extra named as Habibah Abdullah who spent 15 days at sea after fleeing Myanmar recounted her on-set experience with her two-year-old daughter to The Sun. Habibah who cannot swim was quoted as saying: “We were in fast-moving water and I was terrified. It took hours to do the scenes and we had to go into the water again and again. “Babies were crying and children all around me were screaming ‘Mummy, mummy.’” Meanwhile, another extra Mubarak Bindi who fled Myanmar after her village was razed to the ground said filming scenes in a replica of a refugee camp brought back “terrible feelings”. “My heart sank when I saw the film set. It reminded me of where I had to live after my village was burned down. “It brought back all the terrible feelings of that time. I felt very upset,” she was quoted as saying by The Sun. Sources told The Sun tabloid that many of the show’s cast and crew were “furious” with the treatment of the “vulnerable” refugees on the set, including its star Michelle Keegan. In a statement to The Sun, a spokesman for the BBC refuted the allegations and said the refugees were paid the standard local rate. The rep for the British broadcaster added that the Our Girl storyline was conceived to shed a light on the plight of the Rohingya. “All the supporting artists were contracted in the normal manner and at rates standard for work in Malaysia, including some Rohingya refugees living in Malaysia. “At no point were any of the artists asked to do anything that would compromise their safety and their welfare was of paramount importance to us,” the spokesman said. The spokesman also addressed the case of the Rohingya extra who collapsed from heat exhaustion, saying that he was attended to by an on-set medic and taken to hospital with a producer. “Filming stopped to allow this to happen and there is no footage of the event in the programme,” he added. Since August 2017, nearly 650,000 Rohingya have fled a military operation in Myanmar’s westernmost Rakhine state described by the UN and US as “ethnic cleansing”. Statistics provided by the United Nations High Commission for Refugees last November showed that there are currently more than 60,000 Rohingya refugees in Malaysia.",20,6.533333333333333,3.1790445188151883,11.046783625730995,0.0033333686257486406,0.0031790445188151885
"Home Ministry to meet UNHCR, Wisma Putra over refugee card holders",8,"['Minister wants to ensure that refugees in the country has valid documentation', 'Government is reviewing the status of refugees in the country', 'Minister acknowledges that refugees should be helped but need to ensure that refugees have valid documentation', 'Refugee status is a case of valid/invalid documentation ', 'Refugee status is a case of valid/invalid documentation ', 'Legitimate documentation is more important than helping on the basis of humanity ', 'Refugees are ""also humans""', 'Malaysia is only willing to help refugees that have legitimate documents']","[54, 55, 56, 57, 57, 58, 59, 60]",6.5,1516,"[-1, 193, 126, 120, 127]",0,"PUTRAJAYA: The Home Ministry will meet the United Nations High Commissioner for Refugees (UNHCR) and Wisma Putra so that they can coordinate data on UNHCR card holders. nan “I will call both to ensure that they forward whatever data they have to us. This is to ensure that whoever is in our country has valid documentation,” said Home Minister Datuk Seri Hamzah Zainudin after a promotion ceremony at the ministry here on Friday (Aug 14). nan Previously in Parliament, the minister said that the government will review the status of refugees who are residing in Malaysia using the UNHCR cards. nan “The UNCHR cards used by them are something that we do not comprehend sometimes; the figure (the number of UNHCR card holders) is supposed to have remained static, but it has increased over time,” said Hamzah in his winding-up speech in Parliament on Aug 4. nan “That is causing a problem in the country, as raised by Arau (Datuk Seri Shahidan Kassim). We will leave this to Wisma Putra, and we will review their status in our country,” he added. nan “They are also humans we should help, I agree with that. But let them have legitimate documents that we can accept, ” Hamzah also said during his winding-up speech. nan Earlier on Friday, Datuk Seri Acryl Sani Abdullah Sani was officially promoted to be the Deputy Inspector-General of Police in a ceremony witnessed by both the minister and Inspector-General of Police Tan Sri Abdul Hamid Bador. nan He replaces Datuk Mazlan Mansor, who officially retired on Friday.",7,2.857723577235772,4.2875989445910285,5.608187134502924,0.003699331882917496,0.004287598944591029
"‘Long Tiger' was looking to flee to neighbouring country, say police",1,['Refugee identity of criminal suspect is peripheral '],[61],1.0,3822,"[-1, 75, 111, 295, 263, 155, 276, 91, 170, 195, 142]",0,"JOHOR BARU: The capture of an ethnic Rohingya man known as “Long Tiger” came at the nick of time with the fugitive making plans to escape to a neighbouring country. nan Outgoing Johor police chief Comm Datuk Ayob Khan Mydin Pitchay said that investigations so far showed that the fugitive, Abdul Hamim Ab Hamid, 32, who is currently under remand until Jan 1, wanted to flee Malaysia. nan He added that other than the arrests of Abdul Hamim and his 46-year-old male accomplice in Kedah on Tuesday (Dec 28) at around 3.15pm, police also arrested two male suspects aged 36 and 38, in Batu Pahat in the wee hours of Wednesday (Dec 29) morning. nan “Long Tiger knew the accomplice whom he met through Facebook and became friends with last year. nan “The other two suspects assisted him by buying him a mobile SIM card and cutting off his handcuffs. We seized the handcuffs and an iron cutter from them,” he said, adding that one of the suspects has a criminal record. nan Comm Ayob said this in a press conference held at the state police headquarters here on Wednesday. nan He also said police were investigating how Abdul Hamim managed to escape from the Tangkak Magistrate Court on Dec 15 and make his way to Sungai Petani in Kedah, which is more than 500km away. nan Comm Ayob, however, admitted that it was the carelessness from the police in the first place which allowed the main suspect to escape from the lock-up. nan He said the four policemen who were accompanying Abdul Hamim at the time have since been suspended while the Tangkak OCPD and Tangkak police station chief would be referred to Bukit Aman for disciplinary action as well. nan “Police are also opening up an investigation paper after pictures of Abdul Hamim's arrest went viral on social media, as it will tamper with our investigations. nan “We are also investigating a Facebook account belonging to a former policeman from Klang which uploaded the pictures on social media,” he said, adding that the case was being investigated under Section 233 of the Communication and Multimedia Act 1998. nan Comm Ayob warned that police would take action against anyone including senior police officers if they were found to leak such information to the public. nan On Tuesday, police arrested Abdul Hamim almost two weeks after he escaped from the Magistrate’s Court lock-up in Tangkak. nan On Dec 15, Abdul Hamim escaped through the main entrance of the Tangkak courthouse at around noon before his hearing. nan He was picked up from the Sungai Udang Prison in Melaka a day before the incident and brought to attend the court session for a case under Section 388 of the Penal Code (for extortion). nan Police personnel only realised he escaped after seeing him running out of the door towards the gate. nan They, along with court security guards, ran after the suspect but he managed to flee towards the woods. nan The suspect also has an ongoing hearing at the Muar Sessions Court for rape under Section 376 of the Penal Code. nan Abdul Hamim was picked up in Muar on July 12 after he allegedly locked up a 21-year-old local said to be his former worker. nan On April 28, he was detained at his home in Muar after he allegedly made a slanderous statement against a police officer from the Tangkak police headquarters. nan A 27-year-old Corporal from the Muar police department, who allegedly spread videos of Abdul Hamim's arrest on social media, was arrested and investigated under the Communications and Multimedia Act 1998. nan In 2012, Abdul Hamim was charged under Sections 363 and 376 of the Penal Code for kidnapping and rape. nan In 2009, he was convicted under Section 506 of the Penal Code for criminal intimidation. nan The suspect has temporary resident status, as well as a refugee card issued by the United Nations High Commissioner for Refugees.",20,7.107723577235772,0.26164311878597596,2.957393483709274,0.0007737816545550168,0.00026164311878597594
